Author,Anand Sanwal
Title,"What's the most unsexy, ""boring"" business you've ever seen that makes a crap ton of money?  (riches in niches)"
Date,"7:15 AM · Jul 3, 2020·Twitter Web App"
Comment,261  Retweets and comments 1.4K  Likes
Conversations,
,Savvy #WearAMask Peterson @SavIsSavvy · Jul 4,"Replying to @asanwal
Met a balloon manufacturer at CES at Bouchon who had just exited the business for $25M cash + royalties in perpetuity.
1
6",
,RabbiJacob @RabbiJacob16 · Jul 4,"Nice
1
1",
,Mask-Wearin Marcus Detry @MarcusDetry · Jul 4,"Replying to @asanwal
Payment processing
7",
,Artem Mashkov @Artem_Mashkov · Jul 4,"Replying to @asanwal
 and @awilkinson
this is a phenomenal thread. Taking notes all over.
7",
,Morgan Tate @morgantate_ · Jul 3,"Replying to @asanwal
Currently selling a garbage/organic tote cleaning business. Very easy to run and profitable.
2
2",
,Morgan Tate @morgantate_ · Jul 3,"Also Lazer engraving for industrial tags (water heaters, lamp posts, etc.) have a massive margin.
3",
,Matthew Graham @mattysino · Jul 4,"Replying to @mdudas
 and @asanwal
I disagree because financial information is sexy to me haha
13",
,Shawn Kanungo @ShawnKanungo · Jul 3,"Replying to @asanwal
Costco Garden Centre. Its Outsourced to a 3rd Party. A One Customer business though. It murders.
2
3",
,Ivo @ivodator · Jul 5,"On the topic of Costco: CDS is a third-party that manages Costco in-store sample marketing. Not sure how the outlook will be moving forward but they kept the relationship with Costco for over 30 years.
2",
,Farhan Ahmed @farhannow · Jul 3,"Replying to @asanwal
AAA. Just renewed my membership too 
.
1
13",https://abs-0.twimg.com/emoji/v2/svg/1f926-1f3fd-200d-2642-fe0f.svg
,outericky @outericky · Jul 4,Being able to go to a AAA office instead of the DMV once or twice makes it worthwhile. And passport photos.,
,Oscar Godson @oscargodson · Jul 3,"Replying to @asanwal
Building Wix sites
5",
,TheCowboyTester @cowboytesting · Jul 4,"Replying to @asanwal
Crop insurance. Its like accounting without any sort of reference to anything anyone would find amusing to chat about on a date.
6",
,Greg Mulholland @gregmulholland · Jul 4,"Replying to @asanwal
Aritificial Christmas trees:
Fighting Seasonality And Amazon, Balsam Brands Built A $100 Million Business On Fake Christmas Trees
After noticing his in-laws' fake Christmas trees didn't look like the real thing, Stanford business school grad Thomas ""Mac"" Harman sensed there could be a market for high-end artificial trees.
forbes.com
5",https://pbs.twimg.com/card_img/1286766751154282496/gzc-QvZ7?format=jpg&name=small
,Vishal Gupta @masstransport · Jul 4,"Replying to @asanwal
Research Publications!
5",
,Koseli Cummings @koswriter · Jul 4,"Replying to @asanwal
Green smoothie ebooks.
5",
